date,deal_type,target,acquirer,title,url
2026-07-01,acquisition,Krazybee Services and Finnovation Tech Solutions Private Ltd.,Mars Equity Dragon Fund VCC,CCI approves acquisition of certain shares in Krazybee Services and Finnovation Tech Solutions Private Ltd. by Mars Equity Dragon Fund VCC,https://pib.gov.in/PressReleasePage.aspx?PRID=2279990
2026-06-23,acquisition,Astemo Ltd.,Honda Motor Co,CCI approves acquisition of 21% voting interest in Astemo Ltd. by Honda Motor Co. Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2277126
2026-06-23,acquisition,Nxtra Data Ltd (Target),Alpha Wave Ventures II,"CCI approves acquisition of certain shareholding in Nxtra Data Ltd (Target) by Alpha Wave Ventures II, LP (Acquirer)",https://pib.gov.in/PressReleasePage.aspx?PRID=2277129
2026-06-16,acquisition,Romsons Group,Jongsong Investments,CCI approves the proposed combination involving inter-alia subscription to certain CCPS and acquisition of certain equity share capital of Romsons Group by Jongsong Investments,https://pib.gov.in/PressReleasePage.aspx?PRID=2273667
2026-06-16,acquisition,PGIM India Asset Management and PGIM India Trustees,TVS Emerald Ltd,CCI approves proposed combination involving acquisition of PGIM India Asset Management and PGIM India Trustees by TVS Emerald Ltd. and TVS Venu Management and Consultancy Services,https://pib.gov.in/PressReleasePage.aspx?PRID=2273669
2026-06-10,acquisition,PUMA SE,Ancat Holding GmbH,CCI approves acquisition of certain shareholding in PUMA SE by Ancat Holding GmbH,https://pib.gov.in/PressReleasePage.aspx?PRID=2271194
2026-05-26,merger,Indovida India,EPL Limited,CCI approves the merger of Indovida India with and into EPL Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2265619
2026-05-20,acquisition,Neysa Networks Pvt Ltd,BCP Asia II Topco V Pte,"CCI approves the acquisition of certain shareholding in Neysa Networks Pvt Ltd by BCP Asia II Topco V Pte. Ltd., Asia II Topco XIV Pte. Ltd., and other investors",https://pib.gov.in/PressReleasePage.aspx?PRID=2263411
2026-05-20,acquisition,"Baharampore - Farakka Highways, Devanahalli Tollway Pvt Ltd, Western MP Infrastructure and Toll Roads Pvt Ltd and Chenani Nashri Tunnelway Ltd",Cube Highways Trust,"CCI approves proposed acquisition of Baharampore - Farakka Highways, Devanahalli Tollway Pvt Ltd, Western MP Infrastructure and Toll Roads Pvt Ltd and Chenani Nashri Tunnelway Ltd by Cube Highways Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2263413
2026-05-12,acquisition,Kenvue Inc.,Kimberly-Clark Corp,CCI approves acquisition of Kenvue Inc. by Kimberly-Clark Corp.,https://pib.gov.in/PressReleasePage.aspx?PRID=2260403
2026-05-12,acquisition,Llyods Engineering Works,Thriveni Earthmovers Pvt Ltd,CCI approves acquisition of 7.14% stake in Llyods Engineering Works by Thriveni Earthmovers Pvt Ltd. and merger of three entities into Lloyds Engineering Works Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2260405
2026-04-28,acquisition,Avendus Capital Pvt Ltd.,Mizuho Securities Co,CCI approves acquisition of certain equity share capital of Avendus Capital Pvt Ltd. by Mizuho Securities Co. Ltd. on a fully diluted basis,https://pib.gov.in/PressReleasePage.aspx?PRID=2256395
2026-04-07,acquisition,equity shares amounting to 14.286% of Aditya Birla Housing Finance Ltd.,Indriya Ltd,CCI approves acquisition of equity shares amounting to 14.286% of Aditya Birla Housing Finance Ltd. by Indriya Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249850
2026-04-07,acquisition,100% equity shares and non-cumulative optionally convertible redeemable preference shares in Nabha Power Ltd.,Torrent Power Ltd,CCI approves proposed acquisition of 100% equity shares and non-cumulative optionally convertible redeemable preference shares in Nabha Power Ltd. by Torrent Power Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249851
2026-04-07,acquisition,KNR SPVs,Indus Infra Trust,CCI approves acquisition of 100% equity shareholding of KNR SPVs by Indus Infra Trust from KNR Constructions Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249854
2026-04-07,acquisition,certain equity shares,Coastal Cedar Investments B,CCI approves acquisition of certain equity shares by Coastal Cedar Investments B.V. in Fleur Hotels and internal restructuring of Lemon Tree Hotels group through amalgamation and demerger,https://pib.gov.in/PressReleasePage.aspx?PRID=2249855
2026-03-25,merger,"Chess Merger Sub, wholly owned subsidiary of Coursera Inc.,",Udemy Inc,"CCI approves merger of Chess Merger Sub, wholly owned subsidiary of Coursera Inc., with and into Udemy Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2245400
2026-03-25,acquisition,shareholding of Groww Asset Management,State Street Global Advisors,"CCI approves acquisition of shareholding of Groww Asset Management by State Street Global Advisors, Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2245404
2026-03-25,acquisition,Shriram Finance,MUFG Bank Ltd,CCI approves acquisition of certain shares in Shriram Finance by MUFG Bank Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2245407
2026-03-25,acquisition,Valuedrive Technologies Pvt Ltd,Setu AIF Trust,"CCI approves proposed acquisition of additional shareholding of Valuedrive Technologies Pvt Ltd by Setu AIF Trust, Konark Trust, and MMPL Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2245409
2026-03-11,acquisition,a certain stake in Curefit Healthcare (Target),MacRitchie Investments Pte,CCI approves acquisition of a certain stake in Curefit Healthcare (Target) by MacRitchie Investments Pte. Ltd. (Acquirer),https://pib.gov.in/PressReleasePage.aspx?PRID=2238086
2026-03-05,acquisition,certain stake,Bagmane Prime Office REIT of Bagmane Developers and others,CCI approves proposed combination inter alia involving acquisition of certain stake by Bagmane Prime Office REIT of Bagmane Developers and others,https://pib.gov.in/PressReleasePage.aspx?PRID=2235404
2026-03-05,acquisition,Balaji Wafers,General Atlantic Singapore BWP Pte,CCI approves acquisition of certain shareholding in Balaji Wafers by General Atlantic Singapore BWP Pte,https://pib.gov.in/PressReleasePage.aspx?PRID=2235406
2026-03-05,acquisition,Generali Central Insurance Company and Generali Central Life Insurance,Central Bank of India,CCI approves acquisition of additional shareholding in Generali Central Insurance Company and Generali Central Life Insurance by Central Bank of India,https://pib.gov.in/PressReleasePage.aspx?PRID=2235410
2026-02-18,acquisition,portfolio management services business of Axis Securities,Axis Asset Management Company,CCI approves acquisition of portfolio management services business of Axis Securities by Axis Asset Management Company,https://pib.gov.in/PressReleasePage.aspx?PRID=2229543
2026-02-12,acquisition,minority shareholding of ~6.63% of Valuedrive Technologies Pvt Ltd,Fidelity Funds,CCI approves proposed acquisition of minority shareholding of ~6.63% of Valuedrive Technologies Pvt Ltd by Fidelity Funds,https://pib.gov.in/PressReleasePage.aspx?PRID=2227277
2026-02-12,acquisition,low voltage motor business of Siemens Ltd.,Innomotics India Pvt Ltd,CCI approves acquisition of low voltage motor business of Siemens Ltd. by Innomotics India Pvt Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2227274
2026-02-03,acquisition,certain shareholding (on a fully diluted basis) of Haldiram Snacks Food Pvt Ltd,L. Catterton India Fund,CCI approves proposed acquisition of certain shareholding (on a fully diluted basis) of Haldiram Snacks Food Pvt Ltd by L. Catterton India Fund,https://pib.gov.in/PressReleasePage.aspx?PRID=2222757
2026-01-27,acquisition,certain unit holding in National Highways Infra Trust,Nitro Asia Holdings II Pte,CCI approves proposed acquisition of certain unit holding in National Highways Infra Trust by Nitro Asia Holdings II Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2219281
2026-01-27,acquisition,Toyota Industries Corp,Elliott Associates,"CCI approves acquisition of certain shareholding of Toyota Industries Corp by Elliott Associates, L.P., Elliott International, L.P., and Liverpool Ltd Partnership (Acquirers)",https://pib.gov.in/PressReleasePage.aspx?PRID=2219279
2026-01-20,acquisition,Thriveni Pellets Pvt Ltd,Tata Steel Ltd,CCI approves acquisition of 50.01% equity share capital of Thriveni Pellets Pvt Ltd by Tata Steel Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2216553
2026-01-06,acquisition,Krosaki Harima Corporation,Nippon Steel Corporation,CCI approves acquisition of Krosaki Harima Corporation by Nippon Steel Corporation,https://pib.gov.in/PressReleasePage.aspx?PRID=2211958
2026-01-06,acquisition,Roppen Transportation Services Private Limited,MIH Investments One B,CCI approves proposed acquisition of additional shareholding in Roppen Transportation Services Private Limited by MIH Investments One B.V.,https://pib.gov.in/PressReleasePage.aspx?PRID=2211959
2025-12-23,acquisition,sole control in Tata BlueScope Steel Pvt. Ltd. by purchasing the remaining 50% equity shareholding currently held,BlueScope Steel Asia Holdings Pty Ltd,CCI has approved Tata Steel Limited’s proposed acquisition of sole control in Tata BlueScope Steel Pvt. Ltd. by purchasing the remaining 50% equity shareholding currently held by BlueScope Steel Asia Holdings Pty Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2207899
2025-12-23,acquisition,certain warrants of Federal Bank Limited,Asia II Topco XIII Pte,CCI has approved acquisition of certain warrants of Federal Bank Limited by Asia II Topco XIII Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2207901
2025-12-16,acquisition,paper and pulp manufacturing business of Aditya Birla Real Estate Limited,ITC Limited,CCI approves acquisition of paper and pulp manufacturing business of Aditya Birla Real Estate Limited by ITC Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2204818
2025-12-16,acquisition,minority shareholding in DCX Global Limited,Coinbase Global Inc,CCI approves the proposed combination involving acquisition of minority shareholding in DCX Global Limited by Coinbase Global Inc.,https://pib.gov.in/PressReleasePage.aspx?PRID=2204820
2025-12-16,acquisition,"Logisteed Holdings, Ltd. (Target)",Japan Post Co,"CCI approves acquisition of certain equity stake in Logisteed Holdings, Ltd. (Target) by Japan Post Co., Ltd. (Acquirer)",https://pib.gov.in/PressReleasePage.aspx?PRID=2204822
2025-12-09,acquisition,Sammaan Capital Limited (SCL/Target),Avenir Investment RSC Ltd,CCI approves the acquisition of certain shareholding of Sammaan Capital Limited (SCL/Target) by Avenir Investment RSC Ltd. (Avenir/Acquirer),https://pib.gov.in/PressReleasePage.aspx?PRID=2201086
2025-11-25,acquisition,Jhajjar Power Limited,Jindal Jhajjar Power Limited,CCI approves the proposed acquisition of 100% shareholding of Jhajjar Power Limited by Jindal Jhajjar Power Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2194257
2025-11-25,acquisition,Toyota Industries Corporation,Toyota Asset Preparatory Co,"CCI approves acquisition of Toyota Industries Corporation by Toyota Asset Preparatory Co., Ltd.",https://pib.gov.in/PressReleasePage.aspx?PRID=2194258
2025-11-11,acquisition,11% to 20% of shareholding of the AWL Agri Business Limited,Lence Pte,CCI approves proposed acquisition of 11% to 20% of shareholding of the AWL Agri Business Limited by Lence Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2188938
2025-11-07,acquisition,Aadhar Housing Finance Ltd.,BCP Asia II Holdco VII Pte,CCI approves the proposed acquisition of up to 80.15% shareholding of Aadhar Housing Finance Ltd. by BCP Asia II Holdco VII Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187554
2025-11-07,acquisition,a certain shareholding in La Renon Healthcare Private Limited,Rajadhiraja Limited,CCI approves acquisition of a certain shareholding in La Renon Healthcare Private Limited by Rajadhiraja Limited.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187557
2025-11-07,acquisition,Continuum Green Energy Holdings Ltd.,Continuum Energy Pte,CCI approves acquisition of certain shareholding of Continuum Green Energy Holdings Ltd. by Continuum Energy Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187555
2025-10-21,acquisition,J. B. Chemicals & Pharmaceuticals Limited,Torrent Pharmaceuticals Limited with voluntary modifications,CCI approves acquisition of J. B. Chemicals & Pharmaceuticals Limited by Torrent Pharmaceuticals Limited with voluntary modifications,https://pib.gov.in/PressReleasePage.aspx?PRID=2181329
2025-10-21,acquisition,Edelweiss Asset Management Limited and Edelweiss Trusteeship Company Limited,Setu AIF Trust,"CCI approves acquisition of certain shareholding of Edelweiss Asset Management Limited and Edelweiss Trusteeship Company Limited by Setu AIF Trust, Konark Trust and MMPL Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2181330
2025-10-14,acquisition,Jaiprakash Associates Limited,Vedanta Limited,CCI approves acquisition of Jaiprakash Associates Limited by Vedanta Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2179069
2025-10-14,acquisition,Cloud4C Services Pte. Ltd and Cloud4C Services Private Limited,Capgemini SE,CCI approves proposed acquisition of Cloud4C Services Pte. Ltd and Cloud4C Services Private Limited by Capgemini SE,https://pib.gov.in/PressReleasePage.aspx?PRID=2179070
2025-09-30,acquisition,Jaiprakash Associates Limited,Jindal Power Limited,CCI approves acquisition of Jaiprakash Associates Limited by Jindal Power Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2173327
2025-09-23,acquisition,"OC Oerlikon Textile Holding AG, Pfäffikon and Oerlikon Textile Inc. (collectively Targets)",Rieter Holding AG and Rieter North America Inc,"CCI approves the acquisition of OC Oerlikon Textile Holding AG, Pfäffikon and Oerlikon Textile Inc. (collectively Targets) by Rieter Holding AG and Rieter North America Inc. (collectively Acquirers)",https://pib.gov.in/PressReleasePage.aspx?PRID=2170263
2025-09-16,acquisition,the entire shareholding of IPM Inc. and OC NL Invest Cooperatief U.A. (OC India Sellers) in Owens-Corning (India) Pvt. Ltd. (Target),Triumph Composites Pvt,CCI approves the proposed acquisition of the entire shareholding of IPM Inc. and OC NL Invest Cooperatief U.A. (OC India Sellers) in Owens-Corning (India) Pvt. Ltd. (Target) by Triumph Composites Pvt. Ltd. and Quartz Fib...,https://pib.gov.in/PressReleasePage.aspx?PRID=2167329
2025-09-16,acquisition,Jaiprakash Associates Limited,PNC Infratech Limited,CCI approves proposed acquisition of Jaiprakash Associates Limited by PNC Infratech Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2167332
2025-09-09,acquisition,Dana Incorporated’s off-highway business,Allison Transmission Holdings,"CCI approves acquisition of Dana Incorporated’s off-highway business by Allison Transmission Holdings, Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2164832
2025-09-02,acquisition,certain share capital and voting rights of YES Bank,Sumitomo Mitsui Banking Corporation,CCI approves acquisition of certain share capital and voting rights of YES Bank by Sumitomo Mitsui Banking Corporation,https://pib.gov.in/PressReleasePage.aspx?PRID=2163146
2025-09-02,acquisition,up to 100% shareholding,Manipal Hospitals Private Limited in Sahyadri Hospitals Private Limited,CCI approves the proposed combination involving acquisition of up to 100% shareholding by Manipal Hospitals Private Limited in Sahyadri Hospitals Private Limited.,https://pib.gov.in/PressReleasePage.aspx?PRID=2163147
2025-08-27,acquisition,Jaiprakash Associates Limited,Adani Group Entities,CCI approves acquisition of Jaiprakash Associates Limited by Adani Group Entities,https://pib.gov.in/PressReleasePage.aspx?PRID=2161135
2025-08-27,acquisition,an additional 40% shareholding,PSA India Pte,CCI approves the acquisition of an additional 40% shareholding by PSA India Pte. Ltd. (Acquirer) in PSA Bharat Investments Pte. Ltd. (Target).,https://pib.gov.in/PressReleasePage.aspx?PRID=2161136
2025-08-27,acquisition,shareholding,Multiples Private Equity Fund IV,"CCI approves acquisition of shareholding by Multiples Private Equity Fund IV, Multiples Private Equity Gift Fund IV, Samvibhag Securities Private Limited, Mr. Mithun Padam Sacheti and Mr. Siddhartha Sacheti in V.I.P. Ind...",https://pib.gov.in/PressReleasePage.aspx?PRID=2161137
2025-08-19,acquisition,"all the outstanding shares and sole control of the Skechers U.S.A, Inc. by 3G Capital Partners and investment",Kakapo Investment Pte,"CCI approves the proposed combination involving acquisition of all the outstanding shares and sole control of the Skechers U.S.A, Inc. by 3G Capital Partners and investment by Kakapo Investment Pte. Ltd.",https://pib.gov.in/PressReleasePage.aspx?PRID=2158147
2025-08-19,acquisition,remaining 49% shareholding of Island Star Mall Developers Private Limited (ISMDPL),The Phoenix Mills Limited,CCI approves the proposed acquisition of remaining 49% shareholding of Island Star Mall Developers Private Limited (ISMDPL) by The Phoenix Mills Limited.,https://pib.gov.in/PressReleasePage.aspx?PRID=2158148
2025-08-05,acquisition,Theobroma Foods Private Limited,Infinity Partners,"CCI approves acquisition of certain equity shareholding of Theobroma Foods Private Limited by Infinity Partners, Aqua Investments Limited and Atreides Investments B. V.",https://pib.gov.in/PressReleasePage.aspx?PRID=2152729
2025-07-29,acquisition,Renault Nissan Automotive India Private Limited,Renault Group B,CCI approves the proposed acquisition of certain shareholding of Renault Nissan Automotive India Private Limited by Renault Group B.V. and Renault S.A.S.,https://pib.gov.in/PressReleasePage.aspx?PRID=2149551
2025-07-15,acquisition,SMC Power Generation Limited,Rungta Sons Private Limited,CCI approves proposed combination involving acquisition of 100% shareholding in SMC Power Generation Limited by Rungta Sons Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2144988
2025-07-15,acquisition,the Target Business from SGRE and SGREL,PPPL,"CCI approves acquisition of the Target Business from SGRE and SGREL by PPPL, TPG REGen, Mavco, Tikri and SGRE",https://pib.gov.in/PressReleasePage.aspx?PRID=2144989
2025-07-01,acquisition,NACL Industries Limited,Coromandel International Limited,Competition Commission of India approves acquisition of certain equity shares in NACL Industries Limited by Coromandel International Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2141336
2025-07-01,acquisition,shares of Billionbrains Garage Ventures Limited,Viggo Investment Pte,CCI approves acquisition of shares of Billionbrains Garage Ventures Limited by Viggo Investment Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2141340
2025-06-24,acquisition,certain issued and paid-up equity share capital of Haldiram Snacks Food Private Limited (Target),Alpha Wave Ventures II LP and Alpha Wave IHC CI,"Competition Commission of India approves the acquisition of certain issued and paid-up equity share capital of Haldiram Snacks Food Private Limited (Target) by Alpha Wave Ventures II LP and Alpha Wave IHC CI, LP (Acquire...",https://pib.gov.in/PressReleasePage.aspx?PRID=2139295
2025-06-17,acquisition,SML Isuzu Limited,Mahindra and Mahindra Limited,CCI approves the proposed combination involving acquisition of SML Isuzu Limited by Mahindra and Mahindra Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2137017
2025-06-17,acquisition,at least 99.44% of the equity and preference shareholding (on a fully diluted basis) of Ecom Express Limited,Delhivery Limited,CCI approves acquisition of at least 99.44% of the equity and preference shareholding (on a fully diluted basis) of Ecom Express Limited by Delhivery Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2137018
2025-06-10,acquisition,Kolte-Patil Developers Limited,BREP Asia III India Holding Co VII Pte,CCI approves the acquisition of certain shareholding in Kolte-Patil Developers Limited by BREP Asia III India Holding Co VII Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2135482
2025-06-03,acquisition,up to 9.99% of the paid up share capital of IDFC First Bank Limited,Currant Sea Investments B,CCI approves the proposed acquisition of up to 9.99% of the paid up share capital of IDFC First Bank Limited by Currant Sea Investments B.V.,https://pib.gov.in/PressReleasePage.aspx?PRID=2133622
2025-06-03,acquisition,"The Interpublic Group of Companies, Inc.",Omnicom Group Inc,"CCI approves proposed acquisition of The Interpublic Group of Companies, Inc. by Omnicom Group Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2133621
2025-05-27,acquisition,Dowlais Group plc,American Axle & Manufacturing Holdings,"CCI approves the proposed acquisition of 100% shareholding of Dowlais Group plc by American Axle & Manufacturing Holdings, Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2131760
2025-05-20,acquisition,certain issued and paid-up equity share capital of Haldiram Snacks Food Private Limited (Target),Jongsong Investments Pte,CCI approves the acquisition of certain issued and paid-up equity share capital of Haldiram Snacks Food Private Limited (Target) by Jongsong Investments Pte. Ltd. (Acquirer),https://pib.gov.in/PressReleasePage.aspx?PRID=2130049
2025-05-20,acquisition,majority stake/control over Nazara Technologies Limited,Axana Estates LLP,"CCI approves acquisition of majority stake/control over Nazara Technologies Limited by Axana Estates LLP, Plutus Wealth Management LLP and Junomoneta Finsol Private Limited",https://pib.gov.in/PressReleasePage.aspx?PRID=2130050
2025-05-20,acquisition,"Bajaj Allianz Life Insurance Company Limited, Bajaj Allianz General Insurance Company Limited and Bajaj Allianz Financial Distributors Limited",Bajaj Finse,"CCI approves the proposed combination involving acquisition of Bajaj Allianz Life Insurance Company Limited, Bajaj Allianz General Insurance Company Limited and Bajaj Allianz Financial Distributors Limited by Bajaj Finse...",https://pib.gov.in/PressReleasePage.aspx?PRID=2130051
2025-05-13,acquisition,shares of Thriveni Earthmovers and Infra,Lloyds Metals and En,CCI approves the combination inter alia envisaging demerger of MDO Business of Thriveni Earthmovers into Thriveni Earthmovers and Infra; and acquisition of shares of Thriveni Earthmovers and Infra by Lloyds Metals and En...,https://pib.gov.in/PressReleasePage.aspx?PRID=2128470
2025-05-13,acquisition,shareholding in EPL Limited,Indorama Netherlands B,CCI approves the proposed acquisition of shareholding in EPL Limited by Indorama Netherlands B.V.,https://pib.gov.in/PressReleasePage.aspx?PRID=2128475
2025-05-01,acquisition,HCCH by Jubilant Beverages Limited (JBL) and (ii) proposed subscription to CCPS in JBL,Jubilant BevCo Limited and the Investors,CCI approves the proposed combination involving (i) acquisition of 40% shareholding of HCCH by Jubilant Beverages Limited (JBL) and (ii) proposed subscription to CCPS in JBL by Jubilant BevCo Limited and the Investors,https://pib.gov.in/PressReleasePage.aspx?PRID=2125860
2025-04-23,acquisition,the Target Business,Kandhari Global Beverages Private Limited,CCI approves the proposed acquisition of the Target Business by Kandhari Global Beverages Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2123767
2025-04-23,acquisition,the AAM India Manufacturing Corporation Private Limited,Bharat Forge Limited with voluntary modifications,CCI approves proposed combination involving acquisition of 100% equity shareholding of the AAM India Manufacturing Corporation Private Limited by Bharat Forge Limited with voluntary modifications,https://pib.gov.in/PressReleasePage.aspx?PRID=2123770
2025-04-15,acquisition,shares of TKE Group by Alat Technologies and the formation of joint venture,Alat Technologies and the TKE Group,CCI approves acquisition of shares of TKE Group by Alat Technologies and the formation of joint venture by Alat Technologies and the TKE Group,https://pib.gov.in/PressReleasePage.aspx?PRID=2121947
2025-04-08,acquisition,"shareholding in Vastu Housing Finance Corporation Limited, APAC Financial Services Limited, and Quantiphi, Inc",Multiples Plenty Private Equity GIFT Fund,"CCI approves the proposed acquisition of shareholding in Vastu Housing Finance Corporation Limited, APAC Financial Services Limited, and Quantiphi, Inc by Multiples Plenty Private Equity GIFT Fund",https://pib.gov.in/PressReleasePage.aspx?PRID=2120190
2025-03-25,acquisition,11 road special purpose vehicles owned by Ashoka Concessions Limited and Ashoka Buildcon Limited,Epic Concesiones 2 Private,Competition Commission of India (CCI) approves the acquisition of 100% equity shareholding in 11 road special purpose vehicles owned by Ashoka Concessions Limited and Ashoka Buildcon Limited by Epic Concesiones 2 Private...,https://pib.gov.in/PressReleasePage.aspx?PRID=2115024
2025-03-25,acquisition,"Athaang Devanahalli Tollway Private Limited, Athaang Jammu Udhampur Highway Private Limited and Quazigund Expressway Private Limited",Cube Highways Trust and Cube Highways and Infrastructure,"CCI approves acquisition of Athaang Devanahalli Tollway Private Limited, Athaang Jammu Udhampur Highway Private Limited and Quazigund Expressway Private Limited by Cube Highways Trust and Cube Highways and Infrastructure...",https://pib.gov.in/PressReleasePage.aspx?PRID=2115027
2025-03-17,acquisition,Uprising Science Private Limited,Hindustan Unilever Limited,CCI approves acquisition of Uprising Science Private Limited by Hindustan Unilever Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2112019
2025-03-17,acquisition,shareholding in Dhoot Transmission Private Limited,BC Asia Investments XV Limited and BC Asia Investments XVI Limited,CCI approves the proposed acquisition of shareholding in Dhoot Transmission Private Limited by BC Asia Investments XV Limited and BC Asia Investments XVI Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2112021
2025-03-17,acquisition,O2 Power Midco Holdings Pte. Ltd. and O2 Energy SG Pte. Ltd.,JSW Neo Energy Limited,CCI approves the proposed acquisition of 100% shareholding of O2 Power Midco Holdings Pte. Ltd. and O2 Energy SG Pte. Ltd. by JSW Neo Energy Limited.,https://pib.gov.in/PressReleasePage.aspx?PRID=2112020
2025-03-17,acquisition,steel-making coal portfolio of Anglo American plc in Australia,Peabody MNG Pty Ltd and Peabody SMC Pty Ltd,CCI approves acquisition of steel-making coal portfolio of Anglo American plc in Australia by Peabody MNG Pty Ltd and Peabody SMC Pty Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2112022
2025-03-11,acquisition,Greenko Energy Holdings of ORIX Corporation,AMG Green Power B,Competition Commission of India (CCI) approves the acquisition of certain shareholding in Greenko Energy Holdings of ORIX Corporation by AMG Green Power B.V. and subscription of certain convertible notes of AM Green (Lux...,https://pib.gov.in/PressReleasePage.aspx?PRID=2110447
2025-03-05,acquisition,KSK Mahanadi Power Company Limited,JSW Energy Limited,CCI approves proposed acquisition of 100% shareholding in KSK Mahanadi Power Company Limited by JSW Energy Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2108310
2025-03-05,acquisition,Raj Petro Specialities Private Limited,Shell Deutschland GmbH and Shell Overseas Investments B,CCI approves the proposed acquisition of 100% equity share capital of Raj Petro Specialities Private Limited by Shell Deutschland GmbH and Shell Overseas Investments B.V.,https://pib.gov.in/PressReleasePage.aspx?PRID=2108313
2025-03-05,acquisition,Orient Cement Limited,Ambuja Cements Limited,CCI approves the proposed acquisition of up to 72.8% shareholding of Orient Cement Limited by Ambuja Cements Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2108314
2025-03-05,acquisition,Schott Poonawalla Private Limited,TPG Scion SG Pte,CCI approves the proposed acquisition of certain shareholding of Schott Poonawalla Private Limited by TPG Scion SG Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2108317
2025-02-04,acquisition,POSCO - India Pune Processing Center Private Limited,POSCO India Processing Center Private Limited,CCI approves the proposed acquisition of certain shareholding in POSCO - India Pune Processing Center Private Limited by POSCO India Processing Center Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2099806
2025-01-28,acquisition,ITD Cementation India Limited,Renew Exim DMCC,CCI approves the proposed acquisition of up to 72.64% shareholding in ITD Cementation India Limited by Renew Exim DMCC,https://pib.gov.in/PressReleasePage.aspx?PRID=2097096
2025-01-21,acquisition,(i) AI Lenarco Midco Ltd.,Majesty II Pte,CCI approves the proposed acquisition of (i) AI Lenarco Midco Ltd. by Majesty II Pte. Ltd and (ii) certain compulsory convertible debentures in Manjushree Technopack Limited from AI Lenarco by Ashoka India Equity Investm...,https://pib.gov.in/PressReleasePage.aspx?PRID=2094909
2025-01-07,acquisition,"21 SPVs, owning renewable power generation plants, and the holding companies of certain SPVs",Gentari Renewables India Pte,"CCI approves the proposed acquisition of 21 SPVs, owning renewable power generation plants, and the holding companies of certain SPVs by Gentari Renewables India Pte. Ltd.",https://pib.gov.in/PressReleasePage.aspx?PRID=2090959
2025-01-07,acquisition,Pegatron Technology India Pvt. Ltd. (Pegatron India),Tata Electronics Pvt,CCI approves the acquisition of certain shareholding of Pegatron Technology India Pvt. Ltd. (Pegatron India) by Tata Electronics Pvt. Ltd. (TEPL) and the transfer of TEL Components Pvt. Ltd.(TEL)’s business undertaking t...,https://pib.gov.in/PressReleasePage.aspx?PRID=2090960
2024-12-31,acquisition,all outstanding equity shares of Kellanova,Mars,"Competition Commission of India (CCI) approves the acquisition of all outstanding equity shares of Kellanova by Mars, Incorporated",https://pib.gov.in/PressReleasePage.aspx?PRID=2089050
2024-12-31,acquisition,72.89% voting share capital in Prataap Snacks Limited,Authum Investment & Infrastructure Limited and Ms,CCI approves the proposed combination involving acquisition of 72.89% voting share capital in Prataap Snacks Limited by Authum Investment & Infrastructure Limited and Ms. Mahi Madhusudan Kela,https://pib.gov.in/PressReleasePage.aspx?PRID=2089053
