date,company_name,category,title,url
2025-11-01,IICA,Unknown,"MoSPI signs MoU with IICA to develop a Comprehensive SDG Alignment Framework integrating National, State, ESG, and CSR indicators towards the vision of Viksit Bharat",https://pib.gov.in/PressReleasePage.aspx?PRID=2185031
2025-10-24,IIIT-Hyderabad,Unknown,TEC signs MoU with IIIT-Hyderabad for collaboration on Joint Studies and Technical Contributions in Telecom Technologies and Standardisation Activities,https://pib.gov.in/PressReleasePage.aspx?PRID=2182200
2025-10-24,IIT-Hyderabad,Unknown,TEC signs MoU with IIT-Hyderabad for collaboration on Joint Studies and Technical Contributions in Telecom Technologies and Standardisation Activities,https://pib.gov.in/PressReleasePage.aspx?PRID=2182282
2025-10-23,Kotak Mahindra Bank,Private/MNC,DPIIT signs MoU with Kotak Mahindra Bank to enhance financial and non-financial support for startups across India.,https://pib.gov.in/PressReleasePage.aspx?PRID=2181808
2025-10-23,Primus Partners Pvt,Unknown,DPIIT signs MoU with Primus Partners Pvt. Ltd. to strengthen the startup ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2181809
2025-09-24,Zepto,Startup,"Ministry of Labour & Employment signs MoU with Zepto in presence of Union Minister, Dr. Mansukh Mandaviya",https://pib.gov.in/PressReleasePage.aspx?PRID=2170741
2025-09-23,Tamil Nadu Government,Unknown,MDL signs MoU with Tamil Nadu Government to develop world-class Greenfield Shipyard on Eastern Coast,https://pib.gov.in/PressReleasePage.aspx?PRID=2170194
2025-09-15,CarDekho Group,Startup,"Startup India-DPIIT signs MoU with CarDekho Group to strengthen startup ecosystem in mobility, fintech and emerging tech sectors",https://pib.gov.in/PressReleasePage.aspx?PRID=2166779
2025-09-04,Pfizer Limited,Unknown,DPIIT signs MoU with Pfizer Limited to strengthen India’s healthcare innovation ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2163676
2025-08-27,QCI,Unknown,MoD signs MoU with QCI to enhance Veteran Welfare Services,https://pib.gov.in/PressReleasePage.aspx?PRID=2161093
2025-08-13,BSIP,Unknown,IGNCA signed MoU with BSIP to mark India’s Unified Platform for Science and Culture,https://pib.gov.in/PressReleasePage.aspx?PRID=2156051
2025-08-12,Hero MotoCorp,Private/MNC,DPIIT signs MoU with Hero MotoCorp to Support and Scale Early-Stage Startups,https://pib.gov.in/PressReleasePage.aspx?PRID=2155373
2025-08-12,Zepto,Startup,DPIIT signs MoU with Zepto to support manufacturing startups through Zepto Nova Innovation Challenge,https://pib.gov.in/PressReleasePage.aspx?PRID=2155374
2025-07-31,HDFC Capital Advisors Limited,Unknown,DPIIT signs MoU with HDFC Capital Advisors Limited to boost innovation in affordable housing and PropTech sectors,https://pib.gov.in/PressReleasePage.aspx?PRID=2150788
2025-07-29,Ather Energy,Startup,DPIIT signs MoU with Ather Energy to strengthen EV manufacturing and clean mobility ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2149532
2025-04-29,Rapido,Startup,Ministry of Labour & Employment signs MoU with Rapido in Presence of Union Ministers Dr. Mansukh Mandaviya and Sushri Shobha Karandlaje,https://pib.gov.in/PressReleasePage.aspx?PRID=2125275
2025-04-15,Swiggy,Startup,Ministry of Labour & Employment signs MoU with Swiggy in Presence of Union Ministers Dr. Mansukh Mandaviya and Sushri Shobha Karandlaje,https://pib.gov.in/PressReleasePage.aspx?PRID=2121930
2025-04-11,Government of Maharashtra,Unknown,Union Ministry of Information & Broadcasting signs a MoU with Government of Maharashtra to establish Indian Institute of Creative Technologies (IICT) in Mumbai,https://pib.gov.in/PressReleasePage.aspx?PRID=2121017
