state,sector,status_bucket,count
BIHAR,Non-Coal Mining,dead,80
BIHAR,Non-Coal Mining,granted,1353
BIHAR,Non-Coal Mining,in_process,270
BIHAR,Non-Coal Mining,tor_granted,449
BIHAR,None,in_process,20
BIHAR,River Valley and Hydroelectric Projects,dead,1
BIHAR,River Valley and Hydroelectric Projects,tor_granted,5
BIHAR,Thermal Projects,dead,5
BIHAR,Thermal Projects,granted,3
BIHAR,Thermal Projects,in_process,1
BIHAR,Thermal Projects,tor_granted,4
CHANDIGARH,INFRA-2,dead,10
CHANDIGARH,INFRA-2,granted,6
CHANDIGARH,INFRA-2,in_process,4
CHANDIGARH,INFRA-2,tor_granted,3
CHANDIGARH,Industrial Projects - 1,dead,1
CHHATTISGARH,Coal Mining,dead,27
CHHATTISGARH,Coal Mining,granted,58
CHHATTISGARH,Coal Mining,in_process,13
CHHATTISGARH,Coal Mining,tor_granted,33
CHHATTISGARH,INFRA-1,dead,1
CHHATTISGARH,INFRA-1,granted,2
CHHATTISGARH,INFRA-2,dead,15
CHHATTISGARH,INFRA-2,granted,24
CHHATTISGARH,INFRA-2,in_process,14
CHHATTISGARH,INFRA-2,tor_granted,6
CHHATTISGARH,Industrial Projects - 1,dead,111
CHHATTISGARH,Industrial Projects - 1,granted,131
CHHATTISGARH,Industrial Projects - 1,in_process,55
CHHATTISGARH,Industrial Projects - 1,tor_granted,138
CHHATTISGARH,Industrial Projects - 2,dead,10
CHHATTISGARH,Industrial Projects - 2,granted,21
CHHATTISGARH,Industrial Projects - 2,in_process,11
CHHATTISGARH,Industrial Projects - 2,tor_granted,14
CHHATTISGARH,Industrial Projects - 3,granted,2
CHHATTISGARH,Industrial Projects - 3,tor_granted,5
CHHATTISGARH,Non-Coal Mining,dead,1209
CHHATTISGARH,Non-Coal Mining,granted,804
CHHATTISGARH,Non-Coal Mining,in_process,352
CHHATTISGARH,Non-Coal Mining,tor_granted,340
CHHATTISGARH,None,dead,1
CHHATTISGARH,None,in_process,57
CHHATTISGARH,River Valley and Hydroelectric Projects,dead,3
CHHATTISGARH,River Valley and Hydroelectric Projects,in_process,1
CHHATTISGARH,River Valley and Hydroelectric Projects,tor_granted,13
CHHATTISGARH,Thermal Projects,dead,11
CHHATTISGARH,Thermal Projects,granted,20
CHHATTISGARH,Thermal Projects,in_process,7
CHHATTISGARH,Thermal Projects,tor_granted,10
DELHI,INFRA-1,dead,1
DELHI,INFRA-1,granted,1
DELHI,INFRA-1,in_process,1
DELHI,INFRA-2,dead,46
DELHI,INFRA-2,granted,80
DELHI,INFRA-2,in_process,29
DELHI,INFRA-2,tor_granted,15
DELHI,Industrial Projects - 1,dead,2
DELHI,Non-Coal Mining,dead,2
DELHI,None,in_process,1
DELHI,Thermal Projects,dead,2
DELHI,Thermal Projects,granted,2
DELHI,Thermal Projects,tor_granted,2
GOA,INFRA-1,dead,1
GOA,INFRA-1,tor_granted,1
GOA,INFRA-2,dead,20
GOA,INFRA-2,granted,32
GOA,INFRA-2,in_process,17
GOA,INFRA-2,tor_granted,2
GOA,Industrial Projects - 1,dead,3
GOA,Industrial Projects - 1,granted,6
GOA,Industrial Projects - 1,in_process,6
GOA,Industrial Projects - 1,tor_granted,3
GOA,Industrial Projects - 2,dead,1
GOA,Industrial Projects - 2,granted,2
GOA,Industrial Projects - 2,tor_granted,3
GOA,Industrial Projects - 3,tor_granted,1
GOA,Non-Coal Mining,dead,15
GOA,Non-Coal Mining,granted,73
GOA,Non-Coal Mining,in_process,8
GOA,Non-Coal Mining,tor_granted,14
GOA,None,in_process,2
GUJARAT,Coal Mining,dead,5
GUJARAT,Coal Mining,granted,3
GUJARAT,Coal Mining,in_process,2
GUJARAT,Coal Mining,tor_granted,5
GUJARAT,INFRA-1,dead,17
GUJARAT,INFRA-1,granted,32
GUJARAT,INFRA-1,in_process,9
GUJARAT,INFRA-1,tor_granted,28
GUJARAT,INFRA-2,dead,175
GUJARAT,INFRA-2,granted,1917
GUJARAT,INFRA-2,in_process,244
GUJARAT,INFRA-2,tor_granted,79
GUJARAT,Industrial Projects - 1,dead,78
GUJARAT,Industrial Projects - 1,granted,118
GUJARAT,Industrial Projects - 1,in_process,53
GUJARAT,Industrial Projects - 1,tor_granted,109
GUJARAT,Industrial Projects - 2,dead,48
GUJARAT,Industrial Projects - 2,granted,87
GUJARAT,Industrial Projects - 2,in_process,23
GUJARAT,Industrial Projects - 2,tor_granted,38
GUJARAT,Industrial Projects - 3,dead,356
GUJARAT,Industrial Projects - 3,granted,844
GUJARAT,Industrial Projects - 3,in_process,160
GUJARAT,Industrial Projects - 3,tor_granted,689
