date,deal_type,role,company_name,title,url
2026-06-16,acquisition,target,Romsons Group,CCI approves the proposed combination involving inter-alia subscription to certain CCPS and acquisition of certain equity share capital of Romsons Group by Jongsong Investments,https://pib.gov.in/PressReleasePage.aspx?PRID=2273667
2026-06-16,acquisition,acquirer,Jongsong Investments,CCI approves the proposed combination involving inter-alia subscription to certain CCPS and acquisition of certain equity share capital of Romsons Group by Jongsong Investments,https://pib.gov.in/PressReleasePage.aspx?PRID=2273667
2026-06-16,acquisition,target,PGIM India Asset Management and PGIM India Trustees,CCI approves proposed combination involving acquisition of PGIM India Asset Management and PGIM India Trustees by TVS Emerald Ltd. and TVS Venu Management and Consultancy Services,https://pib.gov.in/PressReleasePage.aspx?PRID=2273669
2026-06-16,acquisition,acquirer,TVS Emerald Ltd,CCI approves proposed combination involving acquisition of PGIM India Asset Management and PGIM India Trustees by TVS Emerald Ltd. and TVS Venu Management and Consultancy Services,https://pib.gov.in/PressReleasePage.aspx?PRID=2273669
2026-06-10,acquisition,target,PUMA SE,CCI approves acquisition of certain shareholding in PUMA SE by Ancat Holding GmbH,https://pib.gov.in/PressReleasePage.aspx?PRID=2271194
2026-06-10,acquisition,acquirer,Ancat Holding GmbH,CCI approves acquisition of certain shareholding in PUMA SE by Ancat Holding GmbH,https://pib.gov.in/PressReleasePage.aspx?PRID=2271194
2026-05-26,merger,target,Indovida India,CCI approves the merger of Indovida India with and into EPL Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2265619
2026-05-26,merger,acquirer,EPL Limited,CCI approves the merger of Indovida India with and into EPL Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2265619
2026-05-20,acquisition,target,Neysa Networks Pvt Ltd,"CCI approves the acquisition of certain shareholding in Neysa Networks Pvt Ltd by BCP Asia II Topco V Pte. Ltd., Asia II Topco XIV Pte. Ltd., and other investors",https://pib.gov.in/PressReleasePage.aspx?PRID=2263411
2026-05-20,acquisition,acquirer,BCP Asia II Topco V Pte,"CCI approves the acquisition of certain shareholding in Neysa Networks Pvt Ltd by BCP Asia II Topco V Pte. Ltd., Asia II Topco XIV Pte. Ltd., and other investors",https://pib.gov.in/PressReleasePage.aspx?PRID=2263411
2026-05-20,acquisition,target,"Baharampore - Farakka Highways, Devanahalli Tollway Pvt Ltd, Western MP Infrastructure and Toll Roads Pvt Ltd and Chenani Nashri Tunnelway Ltd","CCI approves proposed acquisition of Baharampore - Farakka Highways, Devanahalli Tollway Pvt Ltd, Western MP Infrastructure and Toll Roads Pvt Ltd and Chenani Nashri Tunnelway Ltd by Cube Highways Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2263413
2026-05-20,acquisition,acquirer,Cube Highways Trust,"CCI approves proposed acquisition of Baharampore - Farakka Highways, Devanahalli Tollway Pvt Ltd, Western MP Infrastructure and Toll Roads Pvt Ltd and Chenani Nashri Tunnelway Ltd by Cube Highways Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2263413
2026-05-12,acquisition,target,Kenvue Inc.,CCI approves acquisition of Kenvue Inc. by Kimberly-Clark Corp.,https://pib.gov.in/PressReleasePage.aspx?PRID=2260403
2026-05-12,acquisition,acquirer,Kimberly-Clark Corp,CCI approves acquisition of Kenvue Inc. by Kimberly-Clark Corp.,https://pib.gov.in/PressReleasePage.aspx?PRID=2260403
2026-05-12,acquisition,target,Llyods Engineering Works,CCI approves acquisition of 7.14% stake in Llyods Engineering Works by Thriveni Earthmovers Pvt Ltd. and merger of three entities into Lloyds Engineering Works Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2260405
